reduced,reducing
done,doing
had,having
been,being
arisen,arising
came,coming
lain,lying
swum,swimming
shrunk,shrinking
sung,singing
withdrawn,withdrawing
sunken,sinking
sunk,sinking
forgiven,forgiving
bidden,bidding
hurt,hurting
thrust,thrusting
broadcast,broadcasting
risen,rising
fallen,falling
split,splitting
spread,spreading
fitted,fitting
shut,shutting
cast,casting
eaten,eating
broken,breaking
flown,flying
driven,driving
woken,waking
beaten,beating
ridden,riding
rung,ringing
hidden,hiding
struck,striking
stricken,striking
frozen,freezing
drawn,drawing
sprung,springing
run,running
hit,hitting
misread,misreading
shed,shedding
rid,ridding
overcome,overcoming
offset,offsetting
overrun,overrunning
upset,upsetting
undercut,undercutting
forsaken,forsaking
overridden,overriding
overtaken,overtaking
rewritten,rewriting
undone,undoing
beset,besetting
mistaken,mistaking
underwritten,underwriting
bitten,biting
thrown,throwing
stolen,stealing
shaken,shaking
worn,wearing
blown,blowing
torn,tearing
cut,cutting
raised,raising
lowered,lowering
consented,consenting
hesitated,hesitating
proceeded,proceeding
aspired,aspiring
purported,purporting
endeavoured,endeavouring
condescended,condescending
deigned,deigning
happened,happening
wished,wishing
hoped,hoping
agreed,agreeing
pretended,pretending
sworn,swearing
prayed,praying
vowed,vowing
voted,voting
appeared,appearing
seemed,seeming
cared,caring
asserted,asserting
contended,contending
remarked,remarking
retorted,retorting
intimated,intimating
exclaimed,exclaiming
conjectured,conjecturing
alleged,alleging
surmised,surmising
opined,opining
insinuated,insinuating
supposed,supposing
theorized,theorizing
attested,attesting
fantasized,fantasizing
mused,musing
speculated,speculating
concurred,concurring
replied,replying
shouted,shouting
whispered,whispering
argued,arguing
sighed,sighing
muttered,muttering
testified,testifying
commented,commenting
responded,responding
hinted,hinting
reasoned,reasoning
bragged,bragging
dreamed,dreaming
complained,complaining
thought,thinking
mattered,mattering
sufficed,sufficing
insisted,insisting
wondered,wondering
inquired,inquiring
gone,going
stayed,staying
acted,acting
sounded,sounding
looked,looking
repented,repenting
disapproved,disapproving
talked,talking
consisted,consisting
died,dying
lasted,lasting
waited,waiting
attempted,attempting
undertaken,undertaking
deserved,deserving
managed,managing
plotted,plotting
preferred,preferring
neglected,neglecting
afforded,affording
committed,committing
professed,professing
desired,desiring
sought,seeking
declined,declining
failed,failing
hastened,hastening
volunteered,volunteering
aimed,aiming
fought,fighting
threatened,threatening
meant,meaning
arranged,arranging
resolved,resolving
pledged,pledging
planned,planning
confessed,confessing
decided,deciding
remembered,remembering
forgotten,forgetting
learned,learning
proposed,proposing
demanded,demanding
begged,begging
pleaded,pleading
born,bearing
loved,loving
disliked,disliking
hated,hating
begun,beginning
continued,continuing
ceased,ceasing
started,starting
stopped,stopping
tried,trying
recognized,recognizing
disputed,disputing
accepted,accepting
calculated,calculating
recorded,recording
deduced,deducing
envisioned,envisioning
recounted,recounting
signified,signifying
clarified,clarifying
disclosed,disclosing
recollected,recollecting
adduced,adducing
posited,positing
reiterated,reiterating
inferred,inferring
presupposed,presupposing
repeated,repeating
reflected,reflecting
countered,countering
signaled,signaling
signalled,signalling
provided,providing
doubted,doubting
reaffirmed,reaffirming
sensed,sensing
reckoned,reckoning
regretted,regretting
proclaimed,proclaiming
ascertained,ascertaining
discerned,discerning
stipulated,stipulating
affirmed,affirming
certified,certifying
trusted,trusting
postulated,postulating
ensured,ensuring
implied,implying
verified,verifying
boasted,boasting
declared,declaring
imagined,imagining
feared,fearing
concluded,concluding
suspected,suspecting
conceded,conceding
presumed,presuming
emphasized,emphasizing
maintained,maintaining
acknowledged,acknowledging
noted,noting
confirmed,confirming
stressed,stressing
assumed,assuming
foreseen,foreseeing
believed,believing
answered,answering
worried,worrying
protested,protesting
ruled,ruling
added,adding
figured,figuring
predicted,predicting
realized,realizing
discovered,discovering
determined,determining
announced,announcing
said,saying
mentioned,mentioning
admitted,admitting
recalled,recalling
revealed,revealing
stated,stating
observed,observing
indicated,indicating
guessed,guessing
estimated,estimating
understood,understanding
noticed,noticing
explained,explaining
demonstrated,demonstrating
known,knowing
requested,requesting
felt,feeling
minded,minding
studied,studying
discussed,discussing
opposed,opposing
enjoyed,enjoying
advocated,advocating
contemplated,contemplating
entailed,entailing
necessitated,necessitating
justified,justifying
risked,risking
avoided,avoiding
involved,involving
anticipated,anticipating
favored,favoring
finished,finishing
practiced,practicing
resisted,resisting
quitted,quitting
turned,turning
become,becoming
remained,remaining
grown,growing
approved,approving
disposed,disposing
conceived,conceiving
spoken,speaking
tasted,tasting
smelled,smelling
taken,taking
put,putting
cost,costing
found,finding
gotten,getting
left,leaving
kept,keeping
paced,pacing
watched,watching
tracked,tracking
set,setting
loosed,loosing
freed,freeing
held,holding
hostaged,hostaging
expected,expecting
claimed,claiming
intended,intending
dared,daring
liked,liking
offered,offering
refused,refusing
wanted,wanting
needed,needing
chosen,choosing
prepared,preparing
pressed,pressing
required,requiring
commanded,commanding
ordered,ordering
urged,urging
considered,considering
perceived,perceiving
reported,reporting
cautioned,cautioning
warned,warning
advised,advising
heard,hearing
seen,seeing
owed,owing
delivered,delivering
accorded,according
awarded,awarding
termed,terming
granted,granting
begrudged,begrudging
assigned,assigning
renamed,renaming
repaid,repaying
dubbed,dubbing
entitled,entitling
fined,fining
given,giving
sent,sending
bought,buying
brought,bringing
lent,lending
issued,issuing
handed,handing
passed,passing
paid,paying
sold,selling
dealt,dealing
called,calling
read,reading
written,writing
charged,charging
allowed,allowing
promised,promising
shown,showing
taught,teaching
compelled,compelling
forced,forcing
designed,designing
permitted,permitting
authorized,authorizing
caused,causing
enabled,enabling
pressured,pressuring
trained,training
sentenced,sentencing
prompted,prompting
spurred,spurring
invited,inviting
reelected,reelecting
encouraged,encouraging
drafted,drafting
hired,hiring
enticed,enticing
inspired,inspiring
aided,aiding
forbidden,forbidding
employed,employing
educated,educating
tempted,tempting
condemned,condemning
commissioned,commissioning
counseled,counseling
induced,inducing
instructed,instructing
licensed,licensing
incited,inciting
nominated,nominating
destined,destining
provoked,provoking
challenged,challenging
exhorted,exhorting
implored,imploring
motivated,motivating
impelled,impelling
used,using
elected,electing
appointed,appointing
named,naming
programmed,programming
obliged,obliging
convinced,convincing
persuaded,persuading
told,telling
asked,asking
helped,helping
reminded,reminding
informed,informing
reassured,reassuring
alerted,alerting
guaranteed,guaranteeing
notified,notifying
forewarned,forewarning
assured,assuring
let,letting
watched,watching
appreciated,appreciating
spent,spending
made,making
rendered,rendering
deemed,deeming
deprived,depriving
accused,accusing
acquitted,acquitting
purged,purging
disabused,disabusing
exonerated,exonerating
absolved,absolving
robbed,robbing
convicted,convicting
cleared,clearing
betted,betting
bothered,bothering
surprised,surprising
alarmed,alarming
amazed,amazing
amused,amusing
astonished,astonishing
astounded,astounding
excited,exciting
depressed,depressing
disgusted,disgusting
distressed,distressing
dismayed,dismaying
irritated,irritating
embarrassed,embarrassing
annoyed,annoying
proven,proving
suggested,suggesting
recommended,recommending
denied,denying
described,describing
portrayed,portraying
depicted,depicting
regarded,regarding
viewed,viewing
characterized,characterizing
read,reading
written,writing
seemed,seeming
appeared,appearing
said,saying
told,telling
asked,asking
said,saying
voted,voting
doubled,doubling
tripled,tripling
quadrupled,quadrupling
quintupled,quintupling
abated,abating
abounded,abounding
about-faced,about-facing
absconded,absconding
abstained,abstaining
acceded,acceding
accounted,accounting
accrued,accruing
ached,aching
acquiesced,acquiescing
ad-libbed,ad-libbing
adhered,adhering
adjoined,adjoining
alighted,alighting
allied,alluding
alluded,allying
amounted,amounting
apologized,apologizing
appertained,appertaining
aquaplaned,aquaplaning
arose,arising
arrived,arriving
assented,assenting
atoned,atoning
atrophied,atrophying
baaed,baaing
babbled,babbling
babysat,babysitting
backfired,backfiring
backpedalled,backpedalling
backslid,backsliding
backspaced,backspacing
balked,balking
ballooned,ballooning
banqueted,banqueting
bantered,bantering
barked,barking
barnstormed,barnstorming
basked,basking
bawled,bawling
bayed,baying
beetled,beetling
behaved,behaving
belched,belching
bellyached,bellyaching
belonged,belonging
bickered,bickering
bicycled,bicycling
billowed,billowing
blabbered,blabbering
blathered,blathering
blazed,blazing
bleated,bleating
bled,bleeding
bleeped,bleeping
bloomed,blooming
blossomed,blossoming
blubbered,blubbering
blundered,blundering
blushed,blushing
boded,boding
boomed,booming
braked,braking
brawled,brawling
brayed,braying
bristled,bristling
brooded,brooding
browsed,browsing
bubbled,bubbling
budded,budding
bullshitted,bullshitting
bunked,bunking
burbled,burbling
burgeoned,burgeoning
burped,burping
bustled,bustling
cackled,cackling
campaigned,campaigning
canoed,canoeing
cantered,cantering
capered,capering
capitulated,capitulating
careened,careening
carolled,carolling
caroused,carousing
cascaded,cascading
castled,castling
catered,catering
caterwauled,caterwauling
cavilled,cavilling
cavorted,cavorting
chafed,chafing
chattered,chattering
cheeped,cheeping
chirped,chirping
chirruped,chirruping
chortled,chortling
chuckled,chuckling
chugged,chugging
chummed,chumming
clacked,clacking
clambered,clambering
clamored,clamoring
clamoured,clamouring
clanked,clanking
clashed,clashing
clattered,clattering
clerked,clerking
climaxed,climaxing
clung,clinging
clucked,clucking
clunked,clunking
clustered,clustering
co-operated,co-operating
coalesced,coalescing
coasted,coasting
coexisted,coexisting
cohabited,cohabiting
cohered,cohering
coincided,coinciding
collaborated,collaborating
collided,colliding
commentated,commentating
commiserated,commiserating
communed,communing
competed,competing
complied,complying
compromised,compromising
confabbed,confabbing
confabulated,confabulating
conflicted,conflicting
conformed,conforming
congealed,congealing
congregated,congregating
connived,conniving
consorted,consorting
conspired,conspiring
convalesced,convalescing
converged,converging
conversed,conversing
cooed,cooing
cooperated,cooperating
coped,coping
copulated,copulating
corresponded,corresponding
cowered,cowering
crackled,crackling
crash-dived,crash-diving
creaked,creaking
crested,cresting
cringed,cringing
croaked,croaking
crowed,crowing
crusaded,crusading
culminated,culminating
curtseyed,curtseying
curtsied,curtsying
cycled,cycling
dabbled,dabbling
dallied,dallying
dawdled,dawdling
dawned,dawning
daydreamed,daydreaming
decamped,decamping
decayed,decaying
defaulted,defaulting
defecated,defecating
defected,defecting
degenerated,degenerating
deliberated,deliberating
delved,delving
demurred,demurring
departed,departing
depended,depending
deplaned,deplaning
depreciated,depreciating
deputized,deputizing
desisted,desisting
despaired,despairing
deteriorated,deteriorating
detracted,detracting
deviated,deviating
devolved,devolving
dieted,dieting
differed,differing
digressed,digressing
dilly-dallied,dilly-dallying
disagreed,disagreing
disappeared,disappearing
discoursed,discoursing
discriminated,discriminating
disembarked,disembarking
disintegrated,disintegrating
disrobed,disrobing
dissembled,dissembling
dissented,dissenting
dithered,dithering
diverged,diverging
doddered,doddering
domineered,domineering
doodled,doodling
doted,doting
double-parked,double-parking
dovetailed,dovetailing
drawled,drawling
drizzled,drizzling
drooled,drooling
duelled,duelling
dwelt,dwelling
dwindled,dwindling
eavesdropped,eavesdropping
ebbed,ebbing
economized,economizing
eddied,eddying
effervesced,effervescing
elapsed,elapsing
eloped,eloping
emanated,emanating
embarked,embarking
emerged,emerging
emigrated,emigrating
encamped,encamping
encroached,encroaching
enquired,enquiring
ensued,ensuing
erred,erring
erupted,erupting
evaporated,evaporating
excelled,excelling
existed,existing
exited,exiting
expatiated,expatiating
experimented,experimenting
expired,expiring
expostulated,expostulating
exulted,exulting
fainted,fainting
faltered,faltering
fared,faring
farted,farting
fasted,fasting
fawned,fawning
feinted,feinting
festered,festering
fibbed,fibbing
fidgeted,fidgeting
filibustered,filibustering
fizzed,fizzing
flailed,flailing
flaked,flaking
flamed,flaming
flickered,flickering
flinched,flinching
flirted,flirting
flitted,flitting
flopped,flopping
floundered,floundering
flourished,flourishing
flowered,flowering
fluctuated,fluctuating
fluttered,fluttering
fly-fished,fly-fishing
foraged,foraging
foregathered,foregathering
fornicated,fornicating
fossilized,fossilizing
foxhunted,foxhunting
fragmented,fragmenting
fraternized,fraternizing
freelanced,freelancing
freewheeled,freewheeling
fretted,fretting
frothed,frothing
frowned,frowning
fulminated,fulminating
fumed,fuming
functioned,functioning
fussed,fussing
gallivanted,gallivanting
galumphed,galumphing
gambolled,gambolling
gaped,gaping
gardened,gardening
gawped,gawping
gazed,gazing
gelled,gelling
genuflected,genuflecting
gesticulated,gesticulating
gestured,gesturing
gibed,gibing
giggled,giggling
glared,glaring
gleamed,gleaming
glided,gliding
glimmered,glimmering
glinted,glinting
glistened,glistening
glittered,glittering
gloated,gloating
globetrotted,globetrotting
gloried,glorying
glowed,glowing
glowered,glowering
goggled,goggling
golfed,golfing
gossiped,gossiping
graduated,graduating
grappled,grappling
gravitated,gravitating
grayed,graying
grazed,grazing
greyed,greying
grimaced,grimacing
grinned,grinning
grooved,grooving
grouched,grouching
groused,grousing
grovelled,grovelling
guffawed,guffawing
gurgled,gurgling
gybed,gybing
gyrated,gyrating
haggled,haggling
hankered,hankering
harked,harking
harped,harping
hawed,hawing
hearkened,hearkening
heeled,heeling
hibernated,hibernating
hiccoughed,hiccoughing
hiccupped,hiccupping
hinged,hinging
hissed,hissing
hitchhiked,hitchhiking
hobnobbed,hobnobbing
hollered,hollering
honeymooned,honeymooning
hovered,hovering
huddled,huddling
huffed,huffing
hungered,hungering
hurtled,hurtling
ice-skated,ice-skating
immigrated,immigrating
impended,impending
impinged,impinging
inched,inching
innovated,innovating
interacted,interacting
interceded,interceding
intercommunicated,intercommunicating
interfered,interfering
intermarried,intermarrying
intermingled,intermingling
intervened,intervening
introspected,introspecting
intruded,intruding
inveighed,inveighing
itched,itching
jabbered,jabbering
jack-knifed,jack-knifing
jaunted,jaunting
jawed,jawing
jaywalked,jaywalking
jelled,jelling
jested,jesting
jibed,jibing
jived,jiving
jockeyed,jockeying
joked,joking
journeyed,journeying
jousted,jousting
kowtowed,kowtowing
lagged,lagging
languished,languishing
lapsed,lapsing
laughed,laughing
leafed,leafing
leered,leering
legislated,legislating
liaised,liaising
lip-read,lip-reading
lisped,lisping
lived,living
loafed,loafing
loitered,loitering
lolled,lolling
longed,longing
loped,loping
lounged,lounging
lumbered,lumbering
lurked,lurking
lusted,lusting
luxuriated,luxuriating
majored,majoring
malfunctioned,malfunctioning
malingered,malingering
marvelled,marvelling
masqueraded,masquerading
materialized,materializing
matriculated,matriculating
maturated,maturating
matured,maturing
maundered,maundering
meandered,meandering
meddled,meddling
meditated,meditating
menstruated,menstruating
metamorphosed,metamorphosing
mewed,mewing
miaoued,miaouing
miaowed,miaowing
migrated,migrating
militated,militating
mingled,mingling
ministered,ministering
misbehaved,misbehaving
misfired,misfiring
molted,molting
monkeyed,monkeying
mooed,mooing
mooched,mooching
moped,moping
moralized,moralizing
moseyed,moseying
motioned,motioning
motored,motoring
mushroomed,mushrooming
mutinied,mutinying
name-dropped,name-dropping
napped,napping
nattered,nattering
necked,necking
neighed,neighing
nested,nesting
networked,networking
niggled,niggling
nosedived,nosediving
noshed,noshing
objected,objecting
occurred,occurring
officiated,officiating
orated,orating
oscillated,oscillating
outgone,outgoing
overacted,overacting
overbidden,overbidding
overeaten,overeating
overlain,overlying
overreacted,overreacting
overslept,oversleeping
paled,paling
palled,palling
palpitated,palpitating
pandered,pandering
panhandled,panhandling
panicked,panicking
panted,panting
parachuted,parachuting
parleyed,parleying
partaken,partaking
participated,participating
pattered,pattering
paused,pausing
peaked,peaking
pearled,pearling
peeped,peeping
perambulated,perambulating
percolated,percolating
perished,perishing
persevered,persevering
persisted,persisting
perspired,perspiring
pertained,pertaining
philandered,philandering
philosophized,philosophizing
picnicked,picnicking
piddled,piddling
pimped,pimping
pinged,pinging
pirouetted,pirouetting
pivoted,pivoting
plodded,plodding
plummetted,plummetting
politicked,politicking
pontificated,pontificating
pored,poring
postured,posturing
pottered,pottering
pounced,pouncing
pouted,pouting
powwowed,powwowing
pranced,prancing
prated,prating
prattled,prattling
pre-existed,pre-existing
predominated,predominating
presided,presiding
prevailed,prevailing
prevaricated,prevaricating
preyed,preying
primped,primping
procrastinated,procrastinating
procreated,procreating
profited,profiting
profiteered,profiteering
progressed,progressing
proliferated,proliferating
propagandized,propagandizing
proselytized,proselytizing
prospered,prospering
protruded,protruding
pub-crawled,pub-crawling
pulsated,pulsating
pulsed,pulsing
punned,punning
purred,purring
pussyfooted,pussyfooting
putrefied,putrefying
puttered,puttering
quacked,quacking
quaked,quaking
quarreled,quarrelling
quarried,quarrying
quavered,quavering
quested,questing
queued,queueing
quibbled,quibbling
quipped,quipping
quivered,quivering
racketed,racketing
rafted,rafting
raged,raging
railed,railing
rained,raining
rambled,rambling
rampaged,rampaging
ranged,ranging
rankled,rankling
ranted,ranting
rasped,rasping
ratted,ratting
raved,raving
re-echoed,re-echoing
reacted,reacting
reappeared,reappearing
rebelled,rebelling
rebounded,rebounding
receded,receding
reclined,reclining
recoiled,recoiling
reconnoitred,reconnoitring
reconverted,reconverting
recriminated,recriminating
recuperated,recuperating
recurred,recurring
redounded,redounding
refrained,refraining
regressed,regressing
reigned,reigning
rejoiced,rejoicing
relapsed,relapsing
relented,relenting
relied,relying
reminisced,reminiscing
remonstrated,remonstrating
rendezvoused,rendezvousing
reneged,reneging
resided,residing
resigned,resigning
resonated,resonating
resorted,resorting
resounded,resounding
rested,resting
resulted,resulting
resurfaced,resurfacing
retaliated,retaliating
retched,retching
retreated,retreating
retrenched,retrenching
retrograded,retrograding
retrogressed,retrogressing
revelled,revelling
reverberated,reverberating
reverted,reverting
revolted,revolting
revolved,revolving
rhapsodized,rhapsodizing
rioted,rioting
ripened,ripening
riposted,riposting
rippled,rippling
rocketed,rocketing
romanced,romancing
romped,romping
roomed,rooming
roosted,roosting
rough-housed,rough-housing
roved,roving
rumbled,rumbling
ruminated,ruminating
rummaged,rummaging
rusted,rusting
sagged,sagging
salivated,salivating
sauntered,sauntering
scampered,scampering
scavenged,scavenging
schemed,scheming
scintillated,scintillating
scowled,scowling
scrammed,scramming
screeched,screeching
scrimped,scrimping
scrounged,scrounging
scuffled,scuffling
seceded,seceding
seesawed,seesawing
seethed,seething
sermonized,sermonizing
shillyshallied,shillyshallying
shimmered,shimmering
shitted,shitting
shivered,shivering
shrimped,shrimping
shuddered,shuddering
sided,siding
sidled,sidling
simmered,simmering
simpered,simpering
sinned,sinning
sizzled,sizzling
skated,skating
skedaddled,skedaddling
skimped,skimping
skirmished,skirmishing
skulked,skulking
skylarked,skylarking
skyrocketed,skyrocketing
slackened,slackening
slavered,slavering
slept,sleeping
sleeted,sleeting
slithered,slithering
slobbered,slobbering
slogged,slogging
slouched,slouching
slummed,slumming
slumbered,slumbering
smarted,smarting
smiled,smiling
smirked,smirking
smouldered,smouldering
snaked,snaking
sneered,sneering
sneezed,sneezing
snickered,snickering
sniffled,sniffling
sniggered,sniggering
sniped,sniping
snitched,snitching
snivelled,snivelling
snooped,snooping
snoozed,snoozing
snored,snoring
snowed,snowing
snowballed,snowballing
snuffled,snuffling
sobbed,sobbing
sojourned,sojourning
soliloquized,soliloquizing
somersaulted,somersaulting
soured,souring
sparred,sparring
sparkled,sparkling
specialized,specializing
speechified,speechifying
spiralled,spiralling
splurged,splurging
spluttered,spluttering
sprawled,sprawling
sprinted,sprinting
sputtered,sputtering
squabbled,squabbling
squalled,squalling
squawked,squawking
squeaked,squeaking
squealed,squealing
squinted,squinting
squirmed,squirming
stagnated,stagnating
stemmed,stemming
straggled,straggling
strayed,straying
strived,striving
struggled,struggling
stuttered,stuttering
subbed,subbing
subscribed,subscribing
subsided,subsiding
subsisted,subsisting
succumbed,succumbing
sulked,sulking
summered,summering
sunbathed,sunbathing
supped,supping
supervened,supervening
surfaced,surfacing
surged,surging
swaggered,swaggering
swarmed,swarming
sweltered,sweltering
swerved,swerving
swirled,swirling
swooned,swooning
sympathized,sympathizing
tampered,tampering
tarried,tarrying
tattled,tattling
taxied,taxiing
teemed,teeming
teetered,teetering
teethed,teething
temporized,temporizing
thrived,thriving
throbbed,throbbing
thudded,thudding
tingled,tingling
tinkered,tinkering
tinkled,tinkling
tiptoed,tiptoeing
tittered,tittering
tittle-tattled,tittle-tattling
toadied,toadying
tobogganed,tobogganing
toiled,toiling
tolled,tolling
tootled,tootling
tonned,tonning
tottered,tottering
touch-typed,touch-typing
towered,towering
toyed,toying
traipsed,traipsing
transpired,transpiring
traveled,traveling
travelled,travelling
trekked,trekking
trembled,trembling
trespassed,trespassing
trifled,trifling
triumphed,triumphing
trundled,trundling
tunnelled,tunnelling
tussled,tussling
tweeted,tweeting
twinkled,twinkling
twitched,twitching
twittered,twittering
ululated,ululating
underacted,underacting
undulated,undulating
urinated,urinating
vacationed,vacationing
vacillated,vacillating
vamoosed,vamoosing
vamped,vamping
vanished,vanishing
vaulted,vaulting
