abandoned,abandoning
abased,abasing
abated,abating
abbreviated,abbreviating
abdicated,abdicating
abducted,abducting
abetted,abetting
abhorred,abhorring
abided,abiding
abolished,abolishing
aborted,aborting
abounded,abounding
about-faced,about-facing
abridged,abridging
abrogated,abrogating
absconded,absconding
absolved,absolving
absorbed,absorbing
abstained,abstaining
abstracted,abstracting
abused,abusing
abutted,abutting
acceded,acceding
accelerated,accelerating
accented,accenting
accentuated,accentuating
accepted,accepting
accessed,accessing
acclaimed,acclaiming
acclimateed,acclimating
acclimatized,acclimatizing
accommodated,accommodating
accompanied,accompanying
accomplished,accomplishing
accorded,according
accosted,accosting
accounted,accounting
accredited,accrediting
accrued,accruing
accumulated,accumulating
accused,accusing
accustomed,accustoming
ached,aching
achieved,achieving
acidified,acidifying
acknowledged,acknowledging
acquainted,acquainting
acquiesced,acquiescing
acquired,acquiring
acquitted,acquitting
acted,acting
activated,activating
ad-libbed,ad-libbing
added,adding
addicted,addicting
addled,addling
addressed,addressing
adduced,adducing
adhered,adhering
adjoined,adjoining
adjourned,adjourning
adjudged,adjudging
adjudicated,adjudicating
adjusted,adjusting
administered,administering
admired,admiring
admitted,admitting
admonished,admonishing
adored,adoring
adorned,adorning
adulterated,adulterating
adumbrated,adumbrating
advanced,advancing
advertised,advertising
advised,advising
advocated,advocating
aerated,aerating
affected,affecting
affiliated,affiliating
affirmed,affirming
affixed,affixing
afflicted,afflicting
afforded,affording
aged,aging
aggrandized,aggrandizing
aggravated,aggravating
aggregated,aggregating
agitateed,agitating
agreed,agreeing
aided,aiding
ailed,ailing
aimed,aiming
aired,airing
alarmed,alarming
alerted,alerting
alienated,alienating
alighted,alighting
aligned,aligning
allayed,allaying
alleged,alleging
alleviated,alleviating
allied,alluding
allocated,allocating
allotted,allotting
allowed,allowing
alluded,allying
altered,altering
alternated,alternating
amalgamated,amalgamating
amassed,amassing
amazed,amazing
ambushed,ambushing
ameliorated,ameliorating
amended,amending
amortized,amortizing
amounted,amounting
amplified,amplifying
amputated,amputating
amused,amusing
anaesthetized,anaesthetizing
analysed,analysing
analyzed,analyzing
anathematized,anathematizing
anchored,anchoring
anesthetized,anesthetizing
angered,angering
angled,angling
anglicized,anglicizing
animated,animating
annexed,annexing
annihilated,annihilating
annointed,annointing
annotated,annotating
announced,announcing
annoyed,annoying
annulled,annulling
anointed,anointing
answered,answering
antagonized,antagonizing
antedated,antedating
anticipated,anticipating
aped,aping
apologized,apologizing
appalled,appalling
appealed,appealing
appeared,appearing
appeased,appeasing
appended,appending
appertained,appertaining
applauded,applauding
applied,applying
appointed,appointing
apportioned,apportioning
appraised,appraising
appreciated,appreciating
apprehended,apprehending
apprenticed,apprenticing
apprised,apprising
approached,approaching
appropriated,appropriating
approved,approving
approximated,approximating
aquaplaned,aquaplaning
arbitrated,arbitrating
arched,arching
argued,arguing
arisen,arising
armed,arming
arose,arising
aroused,arousing
arraigned,arraigning
arranged,arranging
arrayed,arraying
arrested,arresting
arrived,arriving
arrogated,arrogating
articulated,articulating
ascended,ascending
ascertained,ascertaining
ascribed,ascribing
asphalted,asphalting
asphyxiated,asphyxiating
aspirated,aspirating
aspired,aspiring
assailed,assailing
assassinated,assassinating
assaulted,assaulting
assayed,assaying
assembled,assembling
assented,assenting
asserted,asserting
assessed,assessing
assigned,assigning
assimilated,assimilating
assisted,assisting
associated,associating
assuaged,assuaging
assumed,assuming
assured,assuring
astonished,astonishing
astounded,astounding
atomized,atomizing
atoned,atoning
atrophied,atrophying
attached,attaching
attacked,attacking
attained,attaining
attempted,attempting
attended,attending
attenuated,attenuating
attested,attesting
attired,attiring
attracted,attracting
attributed,attributing
attuned,attuning
auctioned,auctioning
audited,auditing
auditioned,auditioning
augmented,augmenting
augured,auguring
authenticated,authenticating
authorized,authorizing
autographed,autographing
automated,automating
availed,availing
avenged,avenging
averaged,averaging
averred,averring
averted,averting
avoided,avoiding
awaited,awaiting
awakened,awakening
awarded,awarding
awed,awing
axed,axing
baaed,baaing
babbled,babbling
babysat,babysitting
backdated,backdating
backed,backing
backfired,backfiring
backpedalled,backpedalling
backslid,backsliding
backspaced,backspacing
badgered,badgering
baffled,baffling
bagged,bagging
bailed,bailing
baited,baiting
baked,baking
balanced,balancing
baled,baling
balked,balking
ballooned,ballooning
bamboozled,bamboozling
bandaged,bandaging
banded,banding
bandied,bandying
banged,banging
banished,banishing
bankrupted,bankrupting
banned,banning
banqueted,banqueting
bantered,bantering
baptized,baptizing
barbarized,barbarizing
barbecued,barbecuing
bared,baring
bargained,bargaining
barged,barging
barked,barking
barnstormed,barnstorming
barred,barring
barrelled,barrelling
barricaded,barricading
bartered,bartering
based,basing
bashed,bashing
basked,basking
basted,basting
bathed,bathing
batted,batting
battened,battening
battered,battering
battled,battling
baulked,baulking
bawled,bawling
bayed,baying
beamed,beaming
beat,beating
beaten,beating
beatified,beatifying
beautified,beautifying
beckoned,beckoning
become,becoming
bedevilled,bedevilling
beefed,beefing
beetled,beetling
befallen,befalling
befitted,befitting
befouled,befouling
befriended,befriending
beggared,beggaring
begged,begging
begotten,begetting
begrudged,begrudging
beguiled,beguiling
begun,beginning
behaved,behaving
beheaded,beheading
beheld,beholding
belaboured,belabouring
belched,belching
belied,belying
believed,believing
belittled,belittling
bellowed,bellowing
bellyached,bellyaching
belonged,belonging
belted,belting
bemoaned,bemoaning
benefited,benefiting
bent,bending
bequeathed,bequeathing
berated,berating
bereaved,bereaving
berthed,berthing
beseeched,beseeching
beset,besetting
besieged,besieging
besmirched,besmirching
bespoken,bespeaking
bested,besting
bestirred,bestirring
bestowed,bestowing
bestrewed,bestrewing
bestrode,bestriding
betokened,betokening
betrayed,betraying
betted,betting
bevelled,bevelling
bewailed,bewailing
bewildered,bewildering
bewitched,bewitching
biased,biasing
bickered,bickering
bicycled,bicycling
bidden,bidding
bided,biding
biffed,biffing
bifurcated,bifurcating
bilked,bilking
billed,billing
billeted,billeting
billowed,billowing
birched,birching
bisected,bisecting
bitten,biting
blabbed,blabbing
blabbered,blabbering
blackballed,blackballing
blackened,blackening
blacklisted,blacklisting
blackmailed,blackmailing
blamed,blaming
blanched,blanching
blanketed,blanketing
blared,blaring
blasphemeed,blaspheming
blasted,blasting
blathered,blathering
blazed,blazing
blazoned,blazoning
bleached,bleaching
bleated,bleating
bled,bleeding
bleeped,bleeping
blemished,blemishing
blended,blending
blessed,blessing
blighted,blighting
blinded,blindfolding
blindfolded,blinding
blinked,blinking
blistered,blistering
blitzed,blitzing
blockaded,blockading
blocked,blocking
bloomed,blooming
blossomed,blossoming
blotted,blotting
blow-dried,blow-drying
blown,blowing
blubbered,blubbering
bludgeoned,bludgeoning
blue-pencilled,blue-pencilling
bluffed,bluffing
blundered,blundering
blunted,blunting
blurred,blurring
blurted,blurting
blushed,blushing
boarded,boarding
boasted,boasting
bobbed,bobbing
boded,boding
bogged,bogging
boggled,boggling
boiled,boiling
bolstered,bolstering
bolted,bolting
bombarded,bombarding
bombed,bombing
bonded,bonding
boned,boning
booed,booing
booked,booking
boomed,booming
boosted,boosting
booted,booting
boozed,boozing
bordered,bordering
bored,boring
born,bearing
borrowed,borrowing
bossed,bossing
botched,botching
bothered,bothering
bottled,bottling
bottomed,bottoming
bought,buying
bounced,bouncing
bound,binding
bounded,bounding
