 to insult , to humiliate 
distinct features,peculiar traits
 altered , changed 
The remaining money ,The money left 
 look for , find 
 psychological problems , problems in mind 
 self-confidence, self-assurance
 the most important thing , the first thing to be considered 
 is important for , has significance for 
Food scientists,Scientists studying the nature of foods
 fruits and vegetables , botanical foods 
over 98 percent of the people living in ,Most of the people in 
 are happy with , are satisfied with 
In an attempt to ,Trying to 
 moved to , headed to 
 known as , famous as 
discussed,debated
